Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,19.35,19.46,19.8,19.11,58.58K,-0.57%
08/08/2023,19.46,19.75,20.0,19.0,44.85K,-1.12%
08/07/2023,19.68,19.9,20.2,19.5,22.07K,-0.86%
08/06/2023,19.85,19.5,20.19,19.5,200.81K,1.79%
08/03/2023,19.5,19.22,19.55,19.0,282.18K,1.46%
08/02/2023,19.22,19.0,19.5,18.75,224.37K,1.16%
08/01/2023,19.0,18.9,19.05,18.64,80.36K,0.58%
07/31/2023,18.89,18.8,18.91,18.55,177.61K,0.48%
07/30/2023,18.8,18.7,18.98,18.4,364.29K,0.00%
07/27/2023,18.8,18.8,18.8,18.3,13.50K,0.00%
07/26/2023,18.8,18.85,18.99,18.75,13.61K,0.00%
07/25/2023,18.8,18.61,18.97,18.55,1.72M,1.08%
07/24/2023,18.6,18.6,18.69,18.42,38.27K,0.05%
07/19/2023,18.59,18.46,18.65,18.38,797.41K,0.70%
07/18/2023,18.46,18.5,18.6,18.35,494.08K,0.27%
07/17/2023,18.41,18.5,18.57,18.35,32.53K,0.00%
07/16/2023,18.41,18.49,18.88,18.31,22.72K,-0.49%
07/13/2023,18.5,18.52,19.0,18.15,300.64K,-0.43%
07/12/2023,18.58,18.53,18.69,18.44,30.58K,0.32%
07/11/2023,18.52,18.45,18.7,18.01,75.44K,0.54%
07/10/2023,18.42,18.0,18.45,17.5,14.23K,0.00%
07/09/2023,18.42,18.68,18.68,18.04,392.23K,-1.18%
07/06/2023,18.64,18.5,18.7,18.5,34.45K,1.30%
07/05/2023,18.4,18.38,18.6,18.35,14.75K,0.00%
07/04/2023,18.4,18.45,18.48,18.29,194.22K,0.55%
06/26/2023,18.3,18.47,18.48,18.04,92.84K,-1.35%
06/25/2023,18.55,18.55,18.6,18.12,11.03K,0.00%
06/22/2023,18.55,18.5,18.65,18.2,364.25K,0.82%
06/21/2023,18.4,18.45,18.5,18.21,170.82K,0.38%
06/20/2023,18.33,18.35,18.5,18.11,470.72K,1.16%
06/19/2023,18.12,17.85,18.33,17.75,1.02M,1.34%
06/18/2023,17.88,17.88,18.0,17.61,17.35K,0.39%
06/15/2023,17.81,17.66,18.0,17.5,88.34K,1.19%
06/14/2023,17.6,17.7,17.93,17.41,1.92M,1.21%
06/13/2023,17.39,17.5,17.95,17.2,1.34M,-1.36%
06/12/2023,17.63,17.4,17.75,17.16,16.60K,2.98%
06/11/2023,17.12,17.5,18.0,17.05,95.12K,-2.00%
06/08/2023,17.47,17.6,18.0,17.2,196.29K,-1.85%
06/07/2023,17.8,18.0,18.0,17.55,2.17M,-0.78%
06/06/2023,17.94,17.57,18.4,17.56,47.67K,0.62%
06/05/2023,17.83,18.44,18.44,17.5,29.20K,-3.15%
06/04/2023,18.41,18.5,18.67,18.35,51.37K,0.22%
06/01/2023,18.37,18.5,18.85,18.02,327.42K,-2.44%
05/31/2023,18.83,19.0,19.1,18.4,2.27M,-0.32%
05/30/2023,18.89,18.61,19.28,18.61,1.10M,1.50%
05/29/2023,18.61,18.0,18.9,18.0,467.33K,0.70%
05/28/2023,18.48,16.6,19.0,16.6,530.90K,11.33%
05/25/2023,16.6,16.06,16.95,16.05,88.18K,3.88%
05/24/2023,15.98,15.8,16.06,15.6,911.81K,0.82%
05/23/2023,15.85,15.84,15.9,15.65,52.27K,0.06%
05/22/2023,15.84,15.63,15.95,15.6,202.25K,1.86%
05/21/2023,15.55,15.35,15.63,15.1,64.64K,2.10%
05/18/2023,15.23,15.23,15.48,15.06,44.51K,-0.46%
05/17/2023,15.3,15.2,15.55,15.05,233.04K,0.00%
05/16/2023,15.3,15.39,15.4,15.1,199.25K,-0.58%
05/15/2023,15.39,15.07,15.48,15.01,152.37K,-1.91%
05/14/2023,15.69,15.6,15.74,15.4,123.97K,1.75%
05/11/2023,15.42,15.73,15.87,15.39,295.46K,-0.52%
05/10/2023,15.5,15.7,15.9,15.4,231.57K,-0.13%
05/09/2023,15.52,15.8,15.99,15.5,218.81K,-1.08%
05/08/2023,15.69,15.9,15.99,15.52,623.79K,0.32%
05/07/2023,15.64,15.5,15.8,15.01,116.13K,0.90%
05/03/2023,15.5,15.7,15.8,15.48,102.89K,-0.58%
05/02/2023,15.59,15.88,16.0,15.0,96.60K,0.00%
05/01/2023,15.59,15.99,16.45,15.5,51.61K,-2.38%
04/30/2023,15.97,16.5,16.95,15.55,127.25K,-3.80%
04/27/2023,16.6,16.0,17.2,16.0,218.15K,3.23%
